ReadingNo,SampleID,DateTime,Prep,CountTime_s,W_pct,W_2sigma,WO3_pct,MTU_per_t,Tier,W_confidence,Au_ppm,Au_flag,Sn_pct,Fe_pct,Mn_pct,Si_pct,Bal_pct,Excluded
1642,w crushed 1,2026-07-22 14:50,Crushed,70,4.439,0.057,5.598,5.6,High grade,strong,120,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.309,1.944,0.103,13.883,77.924,
1643,w crushed 1,2026-07-22 14:52,Crushed,70,1.48,0.026,1.866,1.87,Ore grade,strong,40,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.367,2.042,0.117,13.828,80.798,
1644,w crushed 1,2026-07-22 14:54,Crushed,70,4.963,0.057,6.259,6.26,High grade,strong,140,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.374,2.045,0.098,11.796,79.625,
1645,w crushed 2,2026-07-22 14:57,Crushed,70,3.206,0.043,4.043,4.04,High grade,strong,110,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.383,3.708,0.06,16.217,74.351,
1646,w crushed 2,2026-07-22 14:59,Crushed,70,2.358,0.032,2.974,2.97,Ore grade,strong,50,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.427,3.737,0.067,16.121,75.216,
1647,w crushed 2,2026-07-22 15:01,Crushed,64.85,3.047,0.041,3.843,3.84,High grade,strong,70,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.416,3.742,0.068,16.042,74.562,
1648,w crushed 2,2026-07-22 15:02,Crushed,0.24,4.504,0.559,5.68,5.68,High grade,robust,,,,3.551,,,91.802,YES (0.24s misfire)
1649,w crushed 4,2026-07-22 15:05,Crushed,70,4.535,0.05,5.719,5.72,High grade,strong,130,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.068,3.912,0.032,13.827,76.002,
1650,w crushed 4,2026-07-22 15:07,Crushed,70,4.363,0.045,5.502,5.5,High grade,strong,90,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.078,4.237,0.038,17.305,71.745,
1651,w crushed 4,2026-07-22 15:09,Crushed,70,6.569,0.065,8.284,8.28,High grade,strong,210,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.089,4.29,0.042,15.534,71.491,
1652,w crushed 5,2026-07-22 15:13,Crushed,70,6.025,0.064,7.598,7.6,High grade,strong,170,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.35,2.049,0.111,14.475,75.447,
1653,w crushed 5,2026-07-22 15:15,Crushed,70,5.739,0.065,7.237,7.24,High grade,strong,120,SUSPECT: W Lβ / Au Lα overlap — verify by fire assay,0.262,1.971,0.101,14.045,76.493,
